votes,name,value,link
494,4,"My computer boots to a black screen, what options do I have to fix it?",https://askubuntu.com/questions?tab=frequent&page=1
565,5,How do I install Ubuntu alongside a pre-installed Windows with UEFI?,https://askubuntu.com/questions?tab=frequent&page=1
167,6,How do I install Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=1
358,7,Installing Broadcom Wireless Drivers,https://askubuntu.com/questions?tab=frequent&page=1
437,8,How to install software or upgrade from an old unsupported release?,https://askubuntu.com/questions?tab=frequent&page=1
204,9,How to remove Ubuntu and put Windows back on?,https://askubuntu.com/questions?tab=frequent&page=1
588,10,How do I resolve unmet dependencies after adding a PPA?,https://askubuntu.com/questions?tab=frequent&page=1
364,11,How can I repair grub? (How to get Ubuntu back after installing Windows?),https://askubuntu.com/questions?tab=frequent&page=1
465,12,How do I report a bug?,https://askubuntu.com/questions?tab=frequent&page=1
154,13,How do I find out which version and derivative of Ubuntu is right for my hardware in terms of minimal system requirements?,https://askubuntu.com/questions?tab=frequent&page=1
124,14,How to resize partitions?,https://askubuntu.com/questions?tab=frequent&page=1
701,15,How do I reset a lost administrative password?,https://askubuntu.com/questions?tab=frequent&page=1
516,16,Ubuntu gets stuck in a login loop,https://askubuntu.com/questions?tab=frequent&page=1
562,17,"Unity doesn't load, no Launcher, no Dash appears",https://askubuntu.com/questions?tab=frequent&page=1
277,18,"Unable to correct problems, you have held broken packages",https://askubuntu.com/questions?tab=frequent&page=1
289,4,How can I fix a 404 Error when using a PPA or updating my package lists?,https://askubuntu.com/questions?tab=frequent&page=2
104,5,My wireless/WiFi connection does not work. What information is needed to diagnose the issue?,https://askubuntu.com/questions?tab=frequent&page=2
271,6,How to use manual partitioning during installation?,https://askubuntu.com/questions?tab=frequent&page=2
352,7,Unable to mount Windows (NTFS) filesystem due to hibernation,https://askubuntu.com/questions?tab=frequent&page=2
1086,8,Unable to lock the administration directory (/var/lib/dpkg/) is another process using it?,https://askubuntu.com/questions?tab=frequent&page=2
